Problem,Exercise,SourceHead,SourceLink
diabetes,Walking,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/
diabetes,Elliptical machine,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/
diabetes,StairMaster,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/
diabetes,Dancing,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html
diabetes,Swimming,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html
diabetes,Cycling,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html
diabetes,Playing Sports,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html
diabetes,High-intensity interval training,Exercise Benefits for Type 2 Diabetes - Verywell Health,https://www.verywellhealth.com/cardiovascular-exercise-and-diabetes-1086991
back pain,Knee-to-chest stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Lower back rotational stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Lower back flexibility exercise,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Bridge exercise,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Cat stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Seated lower back rotational stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859
back pain,Walking,What exercises can be done for back pain? - Microsoft Start,https://microsoftstart.msn.com/en-us/health/ask-professionals/expert-answers-on-backpain/hp-backpain?questionid=lqnyblpm&type=condition&source=bingmainline_conditionqna
back pain,Swimming,What exercises can be done for back pain? - Microsoft Start,https://microsoftstart.msn.com/en-us/health/ask-professionals/expert-answers-on-backpain/hp-backpain?questionid=lqnyblpm&type=condition&source=bingmainline_conditionqna
Neck Pain,Chin tuck,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Side rotation,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Side bending stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Levator scapula stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Shoulder circles,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Front stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Shoulder blade squeezes,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief
Neck Pain,Nodding,6 Exercises for Neck Pain: Best Bets Getting Started and More - WebMD,https://www.webmd.com/fitness-exercise/exercises-ease-neck-pain
Obesity,Swimming and water aerobics,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/
Obesity,Walking,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/
Obesity,Leg lifts,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/
Obesity,Squats,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/
Obesity,Jogging,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off
Obesity,Mountain climbing,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off
Obesity,Power walking,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off
Obesity,Dancing,Six activities can help obese people lose weight and keep it off,https://www.health.harvard.edu/staying-healthy/six-activities-can-help-obese-people-lose-weight-and-keep-it-off
chronic tiredness,Warm-water exercise,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045
chronic tiredness,Yoga,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045
chronic tiredness,Qigong (like Tai chi),Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045
chronic tiredness,Pilates,Exercise for Fibromyalgia and Chronic Fatigue Syndrome - Verywell Health,https://www.verywellhealth.com/exercise-for-fibromyalgia-chronic-fatigue-syndrome-716045
chronic tiredness,Aerobic Exercise,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep
chronic tiredness,Resistance Exercise,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep
chronic tiredness,Jogging,The Best Exercises to Get Better Sleep | Sleep Foundation,https://www.sleepfoundation.org/physical-activity/best-exercises-sleep
chronic tiredness,Floor-based strength exercises,10 Exercises to Regain Your Energy When You're Exhausted,https://www.parcofontario.com/10-exercises-regain-energy/
weight loss,Walking,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Jogging,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Cycling,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Weight training,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Interval training,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Swimming,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Yoga,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
weight loss,Pilates,The 8 Best Exercises for Weight Loss - Healthline,https://www.healthline.com/nutrition/best-exercise-for-weight-loss
stress,Jogging,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Swimming,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Cycling,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Walking,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Gardening,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Dancing,Exercise for Mental Health - PMC - National Center for Biotechnology,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1470658/
stress,Yoga,Exercising to Relax - Harvard Health Publishing - Harvard Health,https://www.health.harvard.edu/staying-healthy/exercising-to-relax
stress,Strength training,Exercising to Relax - Harvard Health Publishing - Harvard Health,https://www.health.harvard.edu/staying-healthy/exercising-to-relax
joint pain,Exercises that put joints through their full range of motion,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971
joint pain,Strengthening exercises,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971
joint pain,Aerobic exercise,Exercising with arthritis: Improve your joint pain and stiffness - Mayo,https://www.mayoclinic.org/diseases-conditions/arthritis/in-depth/arthritis/art-20047971
joint pain,Walking,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html
joint pain,Biking,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html
joint pain,Swimming,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html
joint pain,Water aerobics,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html
joint pain,Light gardening,Physical Activity for Arthritis | CDC,https://www.cdc.gov/arthritis/basics/physical-activity/index.html
cardiovascular problems,Brisk walking,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Running,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Cycling,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Swimming,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Rowing,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Cross-country skiing,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Elliptical trainer,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
cardiovascular problems,Stationary cycle,Cardiovascular Exercise - How to Do it Right - Verywell Fit,https://www.verywellfit.com/cardiovascular-exercise-principles-and-guidelines-3432613
