Problem,Exercise,SourceHead,SourceLink,exercise_id
diabetes,Walking,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/,0
diabetes,Elliptical machine,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/,1
diabetes,StairMaster,Low impact exercise for diabetes - Diabetes Care Community,https://www.diabetescarecommunity.ca/diet-and-fitness-articles/physical-activity-articles/low-impact-exercise-for-diabetes/,2
diabetes,Dancing,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html,3
diabetes,Swimming,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html,4
diabetes,Cycling,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html,5
diabetes,Playing Sports,Get Active! | Diabetes | CDC - Centers for Disease Control and Prevention,https://www.cdc.gov/diabetes/managing/active.html,6
diabetes,High-intensity interval training,Exercise Benefits for Type 2 Diabetes - Verywell Health,https://www.verywellhealth.com/cardiovascular-exercise-and-diabetes-1086991,7
back pain,Knee-to-chest stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,8
back pain,Lower back rotational stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,9
back pain,Lower back flexibility exercise,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,10
back pain,Bridge exercise,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,11
back pain,Cat stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,12
back pain,Seated lower back rotational stretch,Back exercises in 15 minutes a day - Mayo Clinic,https://www.mayoclinic.org/healthy-lifestyle/adult-health/in-depth/back-pain/art-20546859,13
back pain,Walking,What exercises can be done for back pain? - Microsoft Start,https://microsoftstart.msn.com/en-us/health/ask-professionals/expert-answers-on-backpain/hp-backpain?questionid=lqnyblpm&type=condition&source=bingmainline_conditionqna,0
back pain,Swimming,What exercises can be done for back pain? - Microsoft Start,https://microsoftstart.msn.com/en-us/health/ask-professionals/expert-answers-on-backpain/hp-backpain?questionid=lqnyblpm&type=condition&source=bingmainline_conditionqna,4
Neck Pain,Chin tuck,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,14
Neck Pain,Side rotation,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,15
Neck Pain,Side bending stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,16
Neck Pain,Levator scapula stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,17
Neck Pain,Shoulder circles,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,18
Neck Pain,Front stretch,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,19
Neck Pain,Shoulder blade squeezes,Exercises for Neck Pain Relief | US News,https://health.usnews.com/health-care/patient-advice/articles/exercises-for-neck-pain-relief,20
Neck Pain,Nodding,6 Exercises for Neck Pain: Best Bets Getting Started and More - WebMD,https://www.webmd.com/fitness-exercise/exercises-ease-neck-pain,21
Obesity,Swimming and water aerobics,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/,22
Obesity,Walking,Gentle Exercise for Obese People-Actionable Wellness,https://actionablewellness.com/gentle-exercise-for-obese-people/,0
